id;latitude;longitude;scientific_name;common_name;taxon_id;year
147778868;10.77582778;-85.34928889;Odocoileus virginianus;Venado de cola blanca;42223;2023
147808958;10.83409137;-85.61264701;Odocoileus virginianus;Venado de cola blanca;42223;2023
147945430;10.97119201;-85.52189184;Odocoileus virginianus;Venado de cola blanca;42223;2020
149838658;10.83118711;-85.68313941;Odocoileus virginianus;Venado de cola blanca;42223;2014
149841639;10.8345585;-85.66528646;Odocoileus virginianus;Venado de cola blanca;42223;2014
149943014;10.61556726;-85.68260223;Odocoileus virginianus;Venado de cola blanca;42223;2023
151501342;10.6891085;-85.5000381;Odocoileus virginianus;Venado de cola blanca;42223;2023
155144940;10.83840833;-85.61828667;Odocoileus virginianus;Venado de cola blanca;42223;2023
155541018;10.838595;-85.61727167;Odocoileus virginianus;Venado de cola blanca;42223;2023
155559304;10.8905464;-85.5998144;Odocoileus virginianus;Venado de cola blanca;42223;2023
155966519;10.79226564;-85.65996357;Odocoileus virginianus;Venado de cola blanca;42223;2023
157318302;10.77394231;-85.3499813;Odocoileus virginianus;Venado de cola blanca;42223;2022
161741567;10.90379276;-85.58783624;Odocoileus virginianus;Venado de cola blanca;42223;2023
164903919;10.71263333;-85.59642;Odocoileus virginianus;Venado de cola blanca;42223;2021
171353729;10.71385737;-85.5961586;Odocoileus virginianus;Venado de cola blanca;42223;2023
171473938;10.623734;-85.6831339;Odocoileus virginianus;Venado de cola blanca;42223;2023
174711652;10.89068214;-85.59969764;Odocoileus virginianus;Venado de cola blanca;42223;2023
175002106;10.774083;-85.349917;Odocoileus virginianus;Venado de cola blanca;42223;2022
175447888;10.83791649;-85.70511181;Odocoileus virginianus;Venado de cola blanca;42223;2023
175449918;10.83791649;-85.70511181;Odocoileus virginianus;Venado de cola blanca;42223;2023
175813745;10.83949167;-85.61852167;Odocoileus virginianus;Venado de cola blanca;42223;2023
175850236;10.83948333;-85.61847;Odocoileus virginianus;Venado de cola blanca;42223;2023
175988995;10.83633833;-85.61795;Odocoileus virginianus;Venado de cola blanca;42223;2023
176015957;10.83612167;-85.61820333;Odocoileus virginianus;Venado de cola blanca;42223;2023
176024222;10.83842468;-85.61817932;Odocoileus virginianus;Venado de cola blanca;42223;2023
176096985;10.83924042;-85.61811027;Odocoileus virginianus;Venado de cola blanca;42223;2023
176275467;10.83636333;-85.61849167;Odocoileus virginianus;Venado de cola blanca;42223;2023
176434448;10.83862833;-85.61827833;Odocoileus virginianus;Venado de cola blanca;42223;2023
180693460;10.89079046;-85.599874;Odocoileus virginianus;Venado de cola blanca;42223;2023
186785977;10.8380791;-85.6180396;Odocoileus virginianus;Venado de cola blanca;42223;2023
189460145;10.83848452;-85.61780222;Odocoileus virginianus;Venado de cola blanca;42223;2022
189619116;10.83923433;-85.6185358;Odocoileus virginianus;Venado de cola blanca;42223;2023
190166155;10.86237636;-85.6695806;Odocoileus virginianus;Venado de cola blanca;42223;2023
